<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2019.05.24,15:00:00,59.87,60.70,59.65,60.07,100,0,0
2019.05.27,15:00:00,60.15,61.60,59.00,61.20,100,0,0
2019.05.28,15:00:00,61.20,62.68,61.11,62.52,100,0,0
2019.05.29,15:00:00,62.00,62.57,61.59,61.91,100,0,0
2019.05.30,15:00:00,61.20,61.99,60.82,61.91,100,0,0
2019.05.31,15:00:00,62.90,63.88,62.16,62.16,100,0,0
2019.06.03,15:00:00,62.36,63.50,62.26,63.22,100,0,0
2019.06.04,15:00:00,63.35,63.68,61.50,62.03,100,0,0
2019.06.05,15:00:00,62.00,62.36,58.89,59.00,100,0,0
2019.06.06,15:00:00,59.05,59.39,57.18,57.98,100,0,0
2019.06.10,15:00:00,57.97,59.37,57.38,58.63,100,0,0
2019.06.11,15:00:00,58.99,60.33,58.71,60.12,100,0,0
2019.06.12,15:00:00,59.97,60.83,59.10,60.35,100,0,0
2019.06.13,15:00:00,60.80,61.75,60.00,61.30,100,0,0
2019.06.14,15:00:00,61.40,62.48,61.00,61.28,100,0,0
2019.06.17,15:00:00,61.95,62.48,61.50,61.60,100,0,0
2019.06.18,15:00:00,62.00,62.83,61.86,62.59,100,0,0
2019.06.19,15:00:00,63.68,65.11,63.68,64.38,100,0,0
2019.06.20,15:00:00,64.70,66.00,64.03,65.51,100,0,0
2019.06.21,15:00:00,65.40,66.63,65.34,65.90,100,0,0
2019.06.24,15:00:00,66.41,66.95,65.58,66.06,100,0,0
2019.06.25,15:00:00,66.13,67.16,65.09,66.03,100,0,0
2019.06.26,15:00:00,66.20,66.98,65.70,66.50,100,0,0
2019.06.27,15:00:00,66.34,67.58,66.34,66.90,100,0,0
2019.06.28,15:00:00,66.90,66.90,64.75,66.00,100,0,0
2019.07.01,15:00:00,67.00,68.63,66.98,68.23,100,0,0
2019.07.02,15:00:00,68.00,70.47,67.90,70.21,100,0,0
2019.07.03,15:00:00,70.00,70.00,68.02,68.37,100,0,0
