<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
1998.10.31,15:00:00,98.54,98.54,98.54,98.54,100,0,0
1998.11.30,15:00:00,98.35,98.35,98.35,98.35,100,0,0
1998.12.31,15:00:00,98.38,98.38,98.38,98.38,100,0,0
1999.01.31,15:00:00,98.58,98.58,98.58,98.58,100,0,0
1999.02.28,15:00:00,98.78,98.78,98.78,98.78,100,0,0
1999.03.31,15:00:00,98.78,98.78,98.78,98.78,100,0,0
1999.04.30,15:00:00,98.51,98.51,98.51,98.51,100,0,0
1999.05.31,15:00:00,98.17,98.17,98.17,98.17,100,0,0
1999.06.30,15:00:00,97.97,97.97,97.97,97.97,100,0,0
1999.07.31,15:00:00,98.01,98.01,98.01,98.01,100,0,0
1999.08.31,15:00:00,98.23,98.23,98.23,98.23,100,0,0
1999.09.30,15:00:00,98.52,98.52,98.52,98.52,100,0,0
1999.10.31,15:00:00,98.65,98.65,98.65,98.65,100,0,0
1999.11.30,15:00:00,98.55,98.55,98.55,98.55,100,0,0
1999.12.31,15:00:00,98.37,98.37,98.37,98.37,100,0,0
2000.01.31,15:00:00,98.27,98.27,98.27,98.27,100,0,0
2000.02.29,15:00:00,98.31,98.31,98.31,98.31,100,0,0
2000.03.31,15:00:00,98.58,98.58,98.58,98.58,100,0,0
2000.04.30,15:00:00,98.98,98.98,98.98,98.98,100,0,0
2000.05.31,15:00:00,99.37,99.37,99.37,99.37,100,0,0
2000.06.30,15:00:00,99.76,99.76,99.76,99.76,100,0,0
2000.07.31,15:00:00,100.12,100.12,100.12,100.12,100,0,0
2000.08.31,15:00:00,100.44,100.44,100.44,100.44,100,0,0
2000.09.30,15:00:00,100.74,100.74,100.74,100.74,100,0,0
2000.10.31,15:00:00,101.18,101.18,101.18,101.18,100,0,0
2000.11.30,15:00:00,101.77,101.77,101.77,101.77,100,0,0
2000.12.31,15:00:00,102.48,102.48,102.48,102.48,100,0,0
2001.01.31,15:00:00,103.21,103.21,103.21,103.21,100,0,0
2001.02.28,15:00:00,103.87,103.87,103.87,103.87,100,0,0
2001.03.31,15:00:00,104.38,104.38,104.38,104.38,100,0,0
2001.04.30,15:00:00,104.75,104.75,104.75,104.75,100,0,0
2001.05.31,15:00:00,105.03,105.03,105.03,105.03,100,0,0
