<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2019.05.06,15:00:00,26.80,27.40,25.65,26.30,100,0,0
2019.05.07,15:00:00,26.30,27.80,26.06,27.75,100,0,0
2019.05.08,15:00:00,27.17,27.37,25.90,26.04,100,0,0
2019.05.09,15:00:00,25.73,26.17,24.73,24.82,100,0,0
2019.05.10,15:00:00,25.17,25.54,24.27,25.36,100,0,0
2019.05.13,15:00:00,24.99,25.71,24.75,25.21,100,0,0
2019.05.14,15:00:00,24.91,25.60,24.75,25.24,100,0,0
2019.05.15,15:00:00,25.40,26.25,25.31,26.14,100,0,0
2019.05.16,15:00:00,26.12,26.39,25.85,26.00,100,0,0
2019.05.17,15:00:00,26.00,26.00,24.92,25.14,100,0,0
2019.05.20,15:00:00,25.10,25.10,24.42,24.88,100,0,0
2019.05.21,15:00:00,24.85,25.31,24.71,25.18,100,0,0
2019.05.22,15:00:00,25.12,25.38,25.01,25.15,100,0,0
2019.05.23,15:00:00,25.10,25.10,24.55,24.65,100,0,0
2019.05.24,15:00:00,24.62,25.00,24.61,24.81,100,0,0
2019.05.27,15:00:00,24.87,25.31,24.65,25.25,100,0,0
2019.05.28,15:00:00,25.18,25.73,25.05,25.68,100,0,0
2019.05.29,15:00:00,25.33,25.50,25.09,25.25,100,0,0
2019.05.30,15:00:00,25.18,25.42,24.85,25.16,100,0,0
2019.05.31,15:00:00,25.18,25.30,24.75,25.07,100,0,0
2019.06.03,15:00:00,25.20,25.35,24.45,24.74,100,0,0
2019.06.04,15:00:00,24.63,24.69,23.86,24.08,100,0,0
2019.06.05,15:00:00,24.17,24.31,23.99,24.05,100,0,0
2019.06.06,15:00:00,24.08,24.19,23.74,24.09,100,0,0
2019.06.10,15:00:00,24.11,24.52,23.85,24.35,100,0,0
2019.06.11,15:00:00,24.35,24.88,24.35,24.83,100,0,0
2019.06.12,15:00:00,24.68,24.78,24.35,24.45,100,0,0
2019.06.13,15:00:00,24.45,24.46,24.01,24.13,100,0,0
2019.06.14,15:00:00,24.16,24.33,24.02,24.07,100,0,0
2019.06.17,15:00:00,24.07,24.28,24.00,24.19,100,0,0
2019.06.18,15:00:00,24.13,24.35,23.88,24.33,100,0,0
2019.06.19,15:00:00,24.74,24.89,24.37,24.40,100,0,0
2019.06.20,15:00:00,24.30,25.15,24.30,24.82,100,0,0
2019.06.21,15:00:00,24.81,25.03,24.56,24.82,100,0,0
2019.06.24,15:00:00,24.82,24.98,24.63,24.81,100,0,0
2019.06.25,15:00:00,24.76,24.80,24.45,24.72,100,0,0
2019.06.26,15:00:00,24.70,25.10,24.59,25.00,100,0,0
2019.06.27,15:00:00,25.16,25.17,24.89,25.06,100,0,0
2019.06.28,15:00:00,25.05,25.05,24.74,24.89,100,0,0
2019.07.01,15:00:00,25.19,26.05,25.15,25.94,100,0,0
2019.07.02,15:00:00,25.86,26.60,25.73,26.24,100,0,0
2019.07.03,15:00:00,26.30,26.60,26.00,26.21,100,0,0
