<DATE>  <OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.03.13	13564	13617	13322	13344	14230	0	17
2018.03.14	13354	13434	13317	13362	7029	0	20
2018.03.15	13329	13552	13282	13512	9035	0	20
2018.03.16	13497	13557	13317	13377	7420	0	20
2018.03.19	13404	13459	13274	13389	9098	0	20
2018.03.20	13377	13534	13329	13519	7616	0	17
2018.03.21	13519	13594	13277	13344	8958	0	20
2018.03.22	13424	13464	13012	13039	16315	0	20
2018.03.23	12919	12984	12659	12672	19428	0	20
2018.03.26	12742	12867	12554	12782	15069	0	20
2018.03.27	12814	12914	12544	12557	14676	0	20
2018.03.28	12569	12727	12304	12369	16906	0	20
2018.03.29	12417	12867	12269	12809	12842	0	20
2018.03.30	12762	12782	12589	12634	5948	0	20
2018.04.02	12667	12812	12284	12357	12156	0	20
2018.04.03	12419	12562	12379	12559	13848	0	20
2018.04.04	12499	12649	12294	12632	15750	0	20
2018.04.05	12612	12727	12594	12707	6072	0	20
2018.04.06	12604	12624	12407	12474	18919	0	17
2018.04.09	12542	12622	12439	12454	12643	0	20
2018.04.10	12487	12864	12469	12847	13626	0	20
2018.04.11	12839	12959	12787	12897	11258	0	20
2018.04.12	12914	12927	12674	12784	10490	0	20
2018.04.13	12777	12814	12507	12519	10030	0	20
2018.04.16	12582	12599	12194	12287	10929	0	20
2018.04.17	12312	12359	12047	12307	10724	0	20
2018.04.18	12317	12354	12044	12249	10367	0	20
2018.04.19	12247	12409	12207	12317	9256	0	20
2018.04.20	12327	12392	12147	12182	11454	0	20
2018.04.23	12209	12382	12102	12314	11635	0	20
2018.04.24	12327	12704	12277	12589	11410	0	20
2018.04.25	12592	12617	12417	12514	10752	0	17
2018.04.26	12534	12564	12172	12354	17828	0	17
2018.04.27	12337	12354	12024	12227	11911	0	20
2018.04.30	12212	12339	12199	12232	5261	0	20
2018.05.01	12244	12279	12162	12237	3075	0	20
2018.05.02	12252	12292	12102	12139	8971	0	20
2018.05.03	12137	12292	12047	12239	10465	0	20
2018.05.04	12217	12259	12072	12212	9148	0	20
2018.05.07	12224	12367	12117	12332	7886	0	20
2018.05.08	12337	12619	12334	12552	7779	0	20
2018.05.09	12569	12589	12466	12556	6570	0	20
2018.05.10	12559	12682	12517	12667	6642	0	20
2018.05.11	12677	12679	12532	12579	5840	0	20
2018.05.14	12604	12807	12592	12784	5216	0	20
2018.05.15	12787	12797	12579	12602	6902	0	20
2018.05.16	12647	12699	12534	12612	5575	0	20
2018.05.17	12604	12632	12437	12449	7593	0	17
2018.05.18	12457	12672	12407	12604	9322	0	17
2018.05.21	12707	12797	12619	12674	6054	0	17
2018.05.22	12676	12681	12464	12569	4411	0	20
2018.05.23	12562	12569	12272	12359	7040	0	20
2018.05.24	12367	12397	12197	12264	9927	0	17
2018.05.25	12259	12339	12184	12239	10817	0	17
2018.05.28	12256	12389	12214	12321	10129	0	17
2018.05.29	12309	12346	12134	12169	14623	0	17
2018.05.30	12157	12159	12002	12129	14752	0	17
2018.05.31	12097	12387	12097	12347	12746	0	17
2018.06.01	12304	12374	12224	12359	10309	0	17
2018.06.04	12362	12557	12332	12547	12877	0	17
2018.06.05	12534	12621	12456	12581	11039	0	17
2018.06.06	12579	12604	12504	12587	7998	0	17
2018.06.07	12563	12648	12448	12465	9568	0	17
2018.06.08	12481	12496	12257	12354	8533	0	20
2018.06.11	12339	12464	12267	12447	6717	0	20
2018.06.12	12434	12612	12387	12537	6647	0	20
2018.06.13	12552	12579	12452	12454	5970	0	20
2018.06.14	12449	12607	12417	12517	6476	0	20
2018.06.15	12472	12550	12380	12432	8162	0	20
2018.06.18	12402	12410	12325	12335	2106	0	0
2018.06.19	12322	12380	11932	12102	11615	0	20
2018.06.20	12090	12235	12032	12142	7962	0	20
2018.06.21	12148	12328	11990	11993	9673	0	20
2018.06.22	12048	12106	11971	12063	7758	0	20
2018.06.25	12081	12151	11746	11781	12258	0	20
2018.06.26	11839	11851	11564	11691	15097	0	17
2018.06.27	11699	11761	11306	11346	14721	0	20
2018.06.28	11356	11514	11294	11429	15521	0	20
2018.06.29	11404	11649	11332	11562	10396	0	20
2018.07.02	11547	11567	10884	11072	15249	0	17
2018.07.03	11086	11181	10826	11051	22557	0	17
2018.07.04	11051	11178	10937	10994	16466	0	17
2018.07.05	10992	11154	10892	11012	13628	0	20
2018.07.06	11013	11248	10893	11191	13382	0	20
2018.07.09	11194	11532	11189	11527	9887	0	20
2018.07.10	11534	11564	11354	11459	8071	0	20
2018.07.11	11284	11342	11147	11249	11628	0	20
2018.07.12	11251	11586	11231	11523	8898	0	20
2018.07.13	11544	11559	11404	11509	7634	0	20
2018.07.16	11516	11556	11309	11344	8288	0	20
2018.07.17	11337	11374	11152	11307	8248	0	20
2018.07.18	11311	11391	11146	11256	8162	0	20
2018.07.19	11256	11358	11188	11193	7151	0	20
2018.07.20	11236	11601	11136	11573	10780	0	20
2018.07.23	11521	11692	11448	11662	9263	0	20
2018.07.24	11687	12007	11659	11999	7798	0	20
2018.07.25	11957	11957	11804	11869	6472	0	20
2018.07.26	11849	11917	11664	11719	9155	0	20
2018.07.27	11714	11747	11622	11652	9558	0	20
2018.07.30	11644	11782	11604	11729	9056	0	20
2018.07.31	11742	11867	11639	11847	8494	0	20
2018.08.01	11812	11829	11379	11422	9613	0	20
2018.08.02	11457	11457	11052	11214	11605	0	20
2018.08.03	11199	11224	11017	11107	9423	0	20
2018.08.06	11107	11212	10952	11049	6792	0	20
2018.08.07	11054	11422	11032	11407	6260	0	20
2018.08.08	11390	11390	11065	11130	5575	0	20
2018.08.09	11128	11528	11098	11475	6585	0	20
2018.08.10	11470	11530	11322	11369	6241	0	20
2018.08.13	11372	11407	11157	11329	10459	0	17
2018.08.14	11337	11364	11204	11309	9652	0	17
2018.08.15	11309	11312	10819	10912	8574	0	20
2018.08.16	10887	11122	10799	11052	8561	0	20
